,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000
2000,26679,30643,34607,38571,42536,50764,54750,58714,62689,66664,70639
2500,31018,34982,38946,43500,48107,56968,61575,66161,70757,75354,79950
3000,32893,38036,43286,48482,53721,63182,68389,73607,78825,84043,89250
3500,36921,41786,47625,53464,59304,69386,75214,81054,86893,92732,98571
4000,38861,45482,  51 964 ,58393,64875,80946,82039,88500,94961,101421,107882
4500,42364,49050,56250,64018,70468,81804,88864,95950,103029,110111,117193
5000,46886,52446,60643,68346,76071,87996,95689,103397,111096,118800,126493
