,"800,00","900,00","1 000,00","1 100,00","1 200,00","1 300,00","1 400,00","1 500,00","1 600,00","1 700,00","1 800,00","1 900,00","2 000,00","2 100,00","2 200,00","2 300,00","2 400,00","2 500,00","2 600,00","2 700,00","2 800,00","2 900,00","3 000,00","3 100,00","3 200,00","3 300,00","3 400,00","3 500,00","3 600,00","3 700,00","3 800,00","3 900,00","4 000,00","4 100,00","4 200,00","4 300,00","4 400,00","4 500,00","4 600,00","4 700,00","4 800,00","4 900,00","5 000,00","5 100,00","5 200,00","5 300,00","5 400,00","5 500,00","5 600,00","5 700,00","5 800,00","5 900,00"
"1 800,00","17 219,00","17 812,00","18 405,00","18 999,00","19 592,00","20 185,00","20 778,00","21 372,00","21 965,00","22 559,00","23 153,00","23 746,00","24 339,00","24 863,00","25 387,00","25 912,00","26 436,00","26 960,00","27 485,00","28 009,00","28 533,00","29 058,00","29 582,00","30 106,00","30 631,00","31 155,00","31 679,00","32 202,00","32 727,00","33 251,00","33 775,00","34 300,00","34 824,00","35 348,00","35 873,00","36 397,00","36 921,00","37 446,00","37 970,00","38 494,00","39 018,00","39 543,00","40 067,00","43 034,00","43 538,00","44 041,00","44 545,00","45 049,00","45 552,00","46 056,00","46 559,00","47 063,00"
"1 900,00","17 489,00","18 096,00","18 702,00","19 308,00","19 914,00","20 521,00","21 127,00","21 733,00","22 340,00","22 946,00","23 553,00","24 158,00","24 765,00","25 302,00","25 839,00","26 376,00","26 914,00","27 451,00","27 988,00","28 525,00","29 063,00","29 600,00","30 137,00","30 675,00","31 211,00","31 749,00","32 286,00","32 823,00","33 361,00","33 897,00","34 435,00","34 972,00","35 509,00","36 047,00","36 584,00","37 121,00","37 658,00","38 196,00","38 732,00","39 270,00","39 807,00","40 344,00","40 882,00","43 778,00","44 292,00","44 808,00","45 322,00","45 837,00","46 351,00","46 867,00","47 381,00","47 896,00"
"2 000,00","17 760,00","18 379,00","18 999,00","19 617,00","20 237,00","20 856,00","21 476,00","22 094,00","22 714,00","23 333,00","23 953,00","24 571,00","25 191,00","25 741,00","26 291,00","26 841,00","27 391,00","27 942,00","28 492,00","29 042,00","29 592,00","30 142,00","30 693,00","31 243,00","31 793,00","32 343,00","32 893,00","33 444,00","33 994,00","34 544,00","35 094,00","35 644,00","36 195,00","36 745,00","37 295,00","37 845,00","38 395,00","38 946,00","39 496,00","40 046,00","40 596,00","41 145,00","41 696,00","44 521,00","45 047,00","45 573,00","46 099,00","46 625,00","47 151,00","47 677,00","48 203,00","48 729,00"
"2 100,00","18 031,00","18 663,00","19 295,00","19 927,00","20 559,00","21 191,00","21 823,00","22 455,00","23 088,00","23 721,00","24 353,00","24 985,00","25 617,00","26 180,00","26 744,00","27 306,00","27 869,00","28 433,00","28 996,00","29 559,00","30 121,00","30 685,00","31 248,00","31 811,00","32 375,00","32 937,00","33 500,00","34 064,00","34 627,00","35 190,00","35 753,00","36 316,00","36 879,00","37 442,00","38 006,00","38 569,00","39 131,00","39 695,00","40 258,00","40 821,00","41 385,00","41 948,00","42 510,00","45 264,00","45 802,00","46 339,00","46 876,00","47 414,00","47 950,00","48 488,00","49 026,00","49 562,00"
"2 200,00","18 300,00","18 946,00","19 591,00","20 237,00","20 881,00","21 527,00","22 172,00","22 818,00","23 462,00","24 107,00","24 753,00","25 397,00","26 043,00","26 619,00","27 195,00","27 771,00","28 347,00","28 923,00","29 500,00","30 075,00","30 652,00","31 227,00","31 803,00","32 380,00","32 955,00","33 532,00","34 108,00","34 684,00","35 260,00","35 837,00","36 412,00","36 988,00","37 564,00","38 140,00","38 717,00","39 292,00","39 869,00","40 445,00","41 020,00","41 597,00","42 173,00","42 749,00","43 325,00","46 008,00","46 556,00","47 105,00","47 653,00","48 201,00","48 750,00","49 299,00","49 848,00","50 396,00"
"2 300,00","18 571,00","19 230,00","19 888,00","20 545,00","21 204,00","21 862,00","22 520,00","23 179,00","23 836,00","24 494,00","25 153,00","25 811,00","26 468,00","27 057,00","27 647,00","28 236,00","28 825,00","29 414,00","30 003,00","30 592,00","31 181,00","31 770,00","32 359,00","32 948,00","33 537,00","34 126,00","34 715,00","35 304,00","35 893,00","36 482,00","37 071,00","37 660,00","38 249,00","38 838,00","39 428,00","40 017,00","40 606,00","41 195,00","41 784,00","42 373,00","42 962,00","43 551,00","44 140,00","46 751,00","47 311,00","47 871,00","48 430,00","48 990,00","49 550,00","50 109,00","50 669,00","51 228,00"
"2 400,00","18 842,00","19 513,00","20 184,00","20 855,00","21 526,00","22 197,00","22 868,00","23 540,00","24 211,00","24 882,00","25 553,00","26 224,00","26 895,00","27 496,00","28 099,00","28 701,00","29 302,00","29 905,00","30 507,00","31 108,00","31 711,00","32 313,00","32 914,00","33 516,00","34 119,00","34 720,00","35 322,00","35 925,00","36 526,00","37 128,00","37 731,00","38 332,00","38 934,00","39 537,00","40 138,00","40 740,00","41 342,00","41 944,00","42 546,00","43 148,00","43 750,00","44 352,00","44 954,00","47 495,00","48 065,00","48 636,00","49 207,00","49 778,00","50 350,00","50 920,00","51 491,00","52 062,00"
"2 500,00","19 113,00","19 797,00","20 480,00","21 165,00","21 848,00","22 533,00","23 217,00","23 901,00","24 585,00","25 268,00","25 953,00","26 636,00","27 321,00","27 935,00","28 551,00","29 166,00","29 780,00","30 395,00","31 011,00","31 625,00","32 240,00","32 856,00","33 470,00","34 085,00","34 699,00","35 315,00","35 930,00","36 544,00","37 160,00","37 775,00","38 389,00","39 004,00","39 620,00","40 234,00","40 849,00","41 463,00","42 079,00","42 694,00","43 308,00","43 924,00","44 539,00","45 153,00","45 768,00","48 238,00","48 820,00","49 403,00","49 984,00","50 567,00","51 149,00","51 731,00","52 313,00","52 896,00"
"2 600,00","19 383,00","20 080,00","20 777,00","21 475,00","22 171,00","22 868,00","23 565,00","24 262,00","24 959,00","25 656,00","26 353,00","27 050,00","27 746,00","28 374,00","29 002,00","29 630,00","30 258,00","30 886,00","31 514,00","32 142,00","32 769,00","33 397,00","34 025,00","34 653,00","35 281,00","35 909,00","36 537,00","37 165,00","37 793,00","38 421,00","39 048,00","39 676,00","40 304,00","40 932,00","41 560,00","42 188,00","42 816,00","43 444,00","44 072,00","44 700,00","45 327,00","45 955,00","46 583,00","48 980,00","49 575,00","50 168,00","50 761,00","51 354,00","51 948,00","52 542,00","53 135,00","53 729,00"
"2 700,00","19 654,00","20 364,00","21 074,00","21 783,00","22 493,00","23 203,00","23 914,00","24 624,00","25 333,00","26 043,00","26 753,00","27 463,00","28 173,00","28 813,00","29 455,00","30 095,00","30 736,00","31 377,00","32 018,00","32 658,00","33 300,00","33 940,00","34 581,00","35 222,00","35 863,00","36 503,00","37 144,00","37 785,00","38 426,00","39 066,00","39 708,00","40 348,00","40 989,00","41 630,00","42 271,00","42 911,00","43 553,00","44 193,00","44 834,00","45 474,00","46 116,00","46 757,00","47 397,00","49 724,00","50 329,00","50 933,00","51 538,00","52 143,00","52 748,00","53 353,00","53 957,00","54 562,00"
